Mon Nov 19 21:21:33 2018	Helsinki	KEMIRA.HE	1630331776	10.77EUR	10.79EUR	10.69EUR	-0.0EUR(-0.74%)
Mon Nov 19 21:21:33 2018	Helsinki	METSO.HE	3907421440	26.59EUR	26.61EUR	26.05EUR	-1.0EUR(-2.03%)
Mon Nov 19 21:21:33 2018	Helsinki	TIK1V.HE	556615168	12.42EUR	12.42EUR	12.62EUR	0.0EUR(1.61%)
Mon Nov 19 21:21:33 2018	Helsinki	AMEAS.HE	3969398016	34.77EUR	34.76EUR	34.45EUR	-0.0EUR(-0.92%)
Mon Nov 19 21:21:33 2018	Helsinki	SSABAH.HE	2951267328	3.434EUR	3.43EUR	3.37EUR	-0.0EUR(-1.86%)
Mon Nov 19 21:21:33 2018	Helsinki	POY1V.HE	437343008	7.26EUR	7.22EUR	7.3EUR	0.0EUR(0.55%)
Mon Nov 19 21:21:40 2018	Helsinki	HKSAV.HE	97585768	1.89EUR	1.884EUR	1.806EUR	-0.0EUR(-4.44%)
Mon Nov 19 21:21:40 2018	Helsinki	TLT1V.HE	110439552	6.1EUR	6.04EUR	6.08EUR	-0.0EUR(-0.33%)
Mon Nov 19 21:21:40 2018	Helsinki	CONSTI.HE	51643360	7.06EUR	6.82EUR	6.74EUR	-0.0EUR(-4.53%)
Mon Nov 19 21:21:40 2018	Helsinki	APETIT.HE	61937376	10.1EUR	10.2EUR	9.98EUR	-0.0EUR(-1.19%)
Mon Nov 19 21:21:40 2018	Helsinki	EQV1V.HE	305428320	8.32EUR	8.32EUR	8.1EUR	-0.0EUR(-2.64%)
Mon Nov 19 21:21:40 2018	Helsinki	QPR1V.HE	20139672	1.7EUR	1.715EUR	1.68EUR	-0.0EUR(-1.18%)
Mon Nov 19 21:21:41 2018	Helsinki	VALOE.HE	4232312	0.28EUR	0.28EUR	0.28EUR	0.0EUR(0.0%)
Mon Nov 19 21:21:41 2018	Helsinki	KESKOA.HE	5100154880	49.7EUR	49.7EUR	49.4EUR	-0.0EUR(-0.6%)
Mon Nov 19 21:21:41 2018	Helsinki	SSABBH.HE	2947947264	2.735EUR	2.752EUR	2.681EUR	-0.0EUR(-1.97%)
Mon Nov 19 21:21:41 2018	Helsinki	MMO1V.HE	174303584	22.2EUR	22EUR	21.6EUR	-1.0EUR(-2.7%)
Mon Nov 19 21:21:41 2018	Helsinki	ORNAV.HE	4189347328	29.7EUR	29.8EUR	29.6EUR	-0.0EUR(-0.34%)
Mon Nov 19 21:21:41 2018	Helsinki	SAGCV.HE	31680000	8.86EUR	8.9EUR	8.8EUR	-0.0EUR(-0.68%)
Mon Nov 19 21:21:48 2018	Helsinki	KESKOB.HE	5107815936	52.82EUR	52.82EUR	52.58EUR	-0.0EUR(-0.45%)
Mon Nov 19 21:21:48 2018	Helsinki	SSH1V.HE	69067912	1.795EUR	1.75EUR	1.78EUR	-0.0EUR(-0.84%)
Mon Nov 19 21:21:48 2018	Helsinki	VIK1V.HE	142560000	13.1EUR	13.2EUR	13.2EUR	0.0EUR(0.76%)
Mon Nov 19 21:21:48 2018	Helsinki	TNOM.HE	123945016	18.25EUR	18.1EUR	18.05EUR	-0.0EUR(-1.1%)
Mon Nov 19 21:21:48 2018	Helsinki	HOIVA.HE	207075104	8.33EUR	8.34EUR	8.14EUR	-0.0EUR(-2.28%)
Mon Nov 19 21:21:49 2018	Helsinki	CRA1V.HE	722544512	16.58EUR	16.65EUR	16.21EUR	-0.0EUR(-2.23%)
Mon Nov 19 21:21:49 2018	Helsinki	NDA-FI.HE	None	8.02EUR	8.032EUR	7.9EUR	-0.0EUR(-1.5%)
Mon Nov 19 21:21:49 2018	Helsinki	ASPO.HE	288759264	9.32EUR	9.32EUR	9.28EUR	-0.0EUR(-0.43%)
Mon Nov 19 21:21:49 2018	Helsinki	SAMPO.HE	22411200512	40.3EUR	40.45EUR	40.02EUR	-0.0EUR(-0.69%)
Mon Nov 19 21:21:49 2018	Helsinki	ORNBV.HE	4175436544	29.94EUR	30.12EUR	29.74EUR	-0.0EUR(-0.67%)
Mon Nov 19 21:21:49 2018	Helsinki	ETTE.HE	205481552	7.96EUR	7.96EUR	8.26EUR	0.0EUR(3.77%)
Mon Nov 19 21:21:49 2018	Helsinki	QTCOM.HE	190338400	8.16EUR	8.16EUR	8EUR	-0.0EUR(-1.96%)
Mon Nov 19 21:21:56 2018	Helsinki	NEO1V.HE	14810321	2.42EUR	2.42EUR	2.49EUR	0.0EUR(2.89%)
Mon Nov 19 21:21:56 2018	Helsinki	CTH1V.HE	29213930	0.1678EUR	0.166EUR	0.1648EUR	-0.0EUR(-1.79%)
Mon Nov 19 21:21:56 2018	Helsinki	STCAS.HE	190999056	2.66EUR	2.74EUR	2.68EUR	0.0EUR(0.75%)
Mon Nov 19 21:21:56 2018	Helsinki	OTE1V.HE	660515840	3.691EUR	3.736EUR	3.634EUR	-0.0EUR(-1.54%)
Mon Nov 19 21:21:57 2018	Helsinki	SCANFL.HE	253382192	4EUR	4.01EUR	3.96EUR	-0.0EUR(-1.0%)
Mon Nov 19 21:21:57 2018	Helsinki	KNEBV.HE	22118076416	43.23EUR	43.24EUR	42.86EUR	-0.0EUR(-0.86%)
Mon Nov 19 21:21:57 2018	Helsinki	EVLI.HE	186127120	7.86EUR	8EUR	7.98EUR	0.0EUR(1.53%)
Mon Nov 19 21:21:57 2018	Helsinki	RAIVV.HE	421174464	2.69EUR	2.69EUR	2.685EUR	-0.0EUR(-0.19%)
Mon Nov 19 21:21:57 2018	Helsinki	WRT1V.HE	8568148992	14.8EUR	14.8EUR	14.48EUR	-0.0EUR(-2.16%)
Mon Nov 19 21:21:57 2018	Helsinki	TOKMAN.HE	441810336	7.545EUR	7.55EUR	7.505EUR	-0.0EUR(-0.53%)
Mon Nov 19 21:21:57 2018	Helsinki	HONBS.HE	15611571	2.5EUR	2.55EUR	2.67EUR	0.0EUR(6.8%)
Mon Nov 19 21:22:04 2018	Helsinki	WUF1V.HE	9901514	1.45EUR	1.45EUR	1.45EUR	0.0EUR(0.0%)
Mon Nov 19 21:22:04 2018	Helsinki	HUH1V.HE	2682452736	25.58EUR	25.59EUR	25.71EUR	0.0EUR(0.51%)
Mon Nov 19 21:22:13 2018	Helsinki	YIT.HE	1127963008	5.325EUR	5.305EUR	5.37EUR	0.0EUR(0.85%)
Mon Nov 19 21:22:20 2018	Helsinki	YLEPS.HE	20717300	8EUR	8.2EUR	8.2EUR	0.0EUR(2.5%)
Tue Nov 20 16:16:20 2018	Helsinki	ACG1V.HE	23332750	3.72EUR	3.71EUR	3.5EUR	-0.0EUR(-5.91%)
Tue Nov 20 16:16:28 2018	Helsinki	AKTIA.HE	431139392	9.54EUR	9.49EUR	9.27EUR	-0.0EUR(-2.83%)
Tue Nov 20 16:16:28 2018	Helsinki	ALTIA.HE	274667808	7.7EUR	7.699EUR	7.6EUR	-0.0EUR(-1.3%)
Tue Nov 20 16:16:29 2018	Helsinki	AMEAS.HE	3919852544	34.45EUR	34.31EUR	34.02EUR	-0.0EUR(-1.25%)
Tue Nov 20 16:16:29 2018	Helsinki	ALBBV.HE	209967104	13.3EUR	13.35EUR	13.3EUR	0.0EUR(0.0%)
Tue Nov 20 16:16:29 2018	Helsinki	AFAGR.HE	206848672	0.812EUR	0.81EUR	0.795EUR	-0.0EUR(-2.09%)
Tue Nov 20 16:16:36 2018	Helsinki	AM1.HE	1116376320	11.28647EUR	12.12EUR	11.62EUR	0.0EUR(2.96%)
Tue Nov 20 16:16:36 2018	Helsinki	APETIT.HE	61937376	9.98EUR	10EUR	9.98EUR	0.0EUR(0.0%)
Tue Nov 20 16:16:37 2018	Helsinki	ALMA.HE	542169536	6.68EUR	6.64EUR	6.6EUR	-0.0EUR(-1.2%)
Tue Nov 20 16:16:37 2018	Helsinki	ALBAV.HE	210756000	14.1EUR	14EUR	14EUR	-0.0EUR(-0.71%)
Tue Nov 20 16:16:44 2018	Helsinki	ASPO.HE	284403008	9.28EUR	9.18EUR	9.14EUR	-0.0EUR(-1.51%)
Tue Nov 20 16:19:12 2018	Helsinki	ACG1V.HE	23332750	3.72EUR	3.71EUR	3.5EUR	-0.0EUR(-5.91%)
Tue Nov 20 16:19:19 2018	Helsinki	AKTIA.HE	431139392	9.54EUR	9.49EUR	9.27EUR	-0.0EUR(-2.83%)
Tue Nov 20 16:19:20 2018	Helsinki	ALBBV.HE	209967104	13.3EUR	13.35EUR	13.3EUR	0.0EUR(0.0%)
Tue Nov 20 16:19:20 2018	Helsinki	ALTIA.HE	273944992	7.7EUR	7.699EUR	7.58EUR	-0.0EUR(-1.56%)
Tue Nov 20 16:19:20 2018	Helsinki	AMEAS.HE	3918700032	34.45EUR	34.31EUR	34.01EUR	-0.0EUR(-1.28%)
Tue Nov 20 16:22:02 2018	Helsinki	ACG1V.HE	23332750	3.72EUR	3.71EUR	3.5EUR	-0.0EUR(-5.91%)
Tue Nov 20 16:22:10 2018	Helsinki	AKTIA.HE	430209184	9.54EUR	9.49EUR	9.25EUR	-0.0EUR(-3.04%)
Tue Nov 20 16:22:11 2018	Helsinki	ALTIA.HE	273944992	7.7EUR	7.699EUR	7.58EUR	-0.0EUR(-1.56%)
Tue Nov 20 16:22:11 2018	Helsinki	ALBBV.HE	209967104	13.3EUR	13.35EUR	13.3EUR	0.0EUR(0.0%)
Tue Nov 20 16:23:30 2018	Helsinki	ACG1V.HE	23332750	3.72EUR	3.71EUR	3.5EUR	-0.0EUR(-5.91%)
Tue Nov 20 16:23:38 2018	Helsinki	AKTIA.HE	430209184	9.54EUR	9.49EUR	9.25EUR	-0.0EUR(-3.04%)
Tue Nov 20 16:23:38 2018	Helsinki	ALTIA.HE	273944992	7.7EUR	7.699EUR	7.58EUR	-0.0EUR(-1.56%)
Tue Nov 20 16:23:38 2018	Helsinki	ALBBV.HE	209967104	13.3EUR	13.35EUR	13.3EUR	0.0EUR(0.0%)
Tue Nov 20 16:23:45 2018	None	AMEAS.HE	None	Tue Nov 20 16:25:48 2018	Helsinki	ACG1V.HE	23332750	3.72EUR	3.71EUR	3.5EUR	-0.0EUR(-5.91%)
Tue Nov 20 16:25:49 2018	Helsinki	AFAGR.HE	206848672	0.812EUR	0.81EUR	0.795EUR	-0.0EUR(-2.09%)
Tue Nov 20 16:25:50 2018	Helsinki	AKTIA.HE	430209184	9.54EUR	9.49EUR	9.25EUR	-0.0EUR(-3.04%)
Tue Nov 20 16:25:50 2018	Helsinki	AMEAS.HE	3918700032	34.45EUR	34.31EUR	34.01EUR	-0.0EUR(-1.28%)
Tue Nov 20 16:25:50 2018	Helsinki	ALBBV.HE	209967104	13.3EUR	13.35EUR	13.3EUR	0.0EUR(0.0%)
Tue Nov 20 16:25:51 2018	Helsinki	ALTIA.HE	273944992	7.7EUR	7.699EUR	7.58EUR	-0.0EUR(-1.56%)
Tue Nov 20 16:25:58 2018	Helsinki	AM1.HE	1114454912	11.28647EUR	12.12EUR	11.6EUR	0.0EUR(2.78%)
Tue Nov 20 16:25:58 2018	Helsinki	ALBAV.HE	210756000	14.1EUR	14EUR	14EUR	-0.0EUR(-0.71%)
Tue Nov 20 16:25:59 2018	Helsinki	APETIT.HE	61937376	9.98EUR	10EUR	9.98EUR	0.0EUR(0.0%)
Tue Nov 20 16:26:07 2018	Helsinki	ASPO.HE	284403008	9.28EUR	9.18EUR	9.14EUR	-0.0EUR(-1.51%)
Tue Nov 20 16:27:12 2018	Helsinki	ACG1V.HE	23332750	3.72EUR	3.71EUR	3.5EUR	-0.0EUR(-5.91%)
Tue Nov 20 16:27:19 2018	Helsinki	AFAGR.HE	206848672	0.812EUR	0.81EUR	0.795EUR	-0.0EUR(-2.09%)
